Vendor,junio 23,julio 23,agosto 23,septiembre 23,octubre 23,noviembre 23,diciembre 23,enero 24,feberero 24,marzo 24,abril 24,mayo 24,junio 24,julio 24,agosto 24,septiembre 24,octubre 24,noviembre 24,diciembre 24,enero 25
Grill Academy,64233.00,110239.00,48879.00,43664.00,59138.00,62224.00,7586.00,60731.90,20137.94,39284.00,121159.49,144301.72,93836.21,142267.24,39405.18,56469.85,146333.65,104636.20,46241.82,129037.51
Marca Propia,21789.00,11397.00,31050.00,17101.00,5409.00,7644.00,25151.00,8924.89,5236.61,13437.00,15854.02,17035.91,13251.43,55315.84,36169.27,19977.77,63054.45,57138.53,41432.87,32690.24
Big Green Egg,18622.00,3898.00,13885.00,3591.00,68302.00,52765.00,48807.00,72003.45,25638.78,1254.00,7104.33,20077.84,76591.46,70093.09,6016.38,4725.00,180616.29,232665.49,1980.17,17367.16
Victorinox,4179.00,962.00,1211.00,0.00,0.00,1574.00,0.00,0.00,0.00,3176.00,1375.86,7325.26,2208.70,8681.88,2225.86,783.62,6762.08,48852.28,5867.37,3362.07
SMP MEMBERS,3448.00,862.00,1724.00,0.00,0.00,0.00,0.00,0.00,55948.31,98276.00,22758.63,99439.71,81767.29,50000.03,27844.84,10172.42,23232.77,42241.40,12672.42,12846.21
BLACKSTONE,1893.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1169.48,0.00,0.00,0.00,13108.98,687.94,0.00,11451.73,602.59,415.43,0.00,9925.07
Lodge Cast Iron,1456.00,0.00,654.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2264.65,0.00,516.38,861.21,861.21,17502.60,7335.68,2437.76,602.59
Cinsa,875.00,0.00,0.00,709.00,0.00,0.00,361.00,0.00,0.00,509.00,948.27,719.57,104.74,6375.28,1077.58,1164.65,839.22,900.10,0.00,982.41
New Era,775.00,4918.00,14077.00,1210.00,1550.00,0.00,646.00,0.00,0.00,1421.00,581.13,2896.88,3210.68,2841.38,15216.41,1550.00,5114.66,1672.75,3228.79,1550.00
Lulo Gelato,550.00,154.00,435.00,0.00,141.00,296.00,0.00,0.00,0.00,437.00,141.38,0.00,141.38,141.38,0.00,1000.00,0.00,0.00,0.00,0.00
Proan,78.00,0.00,0.00,235.00,0.00,0.00,239.00,882.00,0.00,355.00,120.00,228.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,107.10
Stanley,0.00,0.00,11379.00,0.00,9309.00,0.00,1034.00,568.10,0.00,2084.00,5068.95,2637.07,7687.06,4410.34,17606.04,0.00,3359.49,0.00,1885.34,1437.93
Weber,0.00,0.00,0.00,0.00,0.00,6515.00,0.00,0.00,0.00,0.00,0.00,6247.41,0.00,0.00,0.00,0.00,818.10,0.00,853.45,9912.93
Kingsford,0.00,0.00,0.00,0.00,0.00,431.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,689.66,0.00,0.00
Franks,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1931.03,0.00,0.00,646.55,1284.48,0.00,0.00,603.46,0.00,0.00
Royal Kitchen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3444.83,0.00,0.00,0.00,1224.14,1034.48,0.00,0.00
Grill Master,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8965.52,0.00,0.00,0.00,0.00,0.00
Pines Cursos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.62,758.62,258.53,603.46,491.38,86.21
Asadores MTY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1034.48,0.00
Total," $117,898.00 "," $132,430.00 "," $123,294.00 "," $66,510.00 "," $143,849.00 "," $131,449.00 "," $83,824.00 "," $143,110.34 "," $108,131.12 "," $160,233.00 "," $177,043.09 "," $303,174.02 "," $295,587.76 "," $341,977.33 "," $156,931.39 "," $108,914.87 "," $449,718.57 "," $498,788.92 "," $118,125.85 "," $219,907.43 "
